[  ̚]
[  ̝]
[  ̞]
[  ̟]
[  ̤]
[  ̧]
[  ̮]
[  ̰]
[  ̱]
[ɳ]
[ɳa]
[ɳɒ]
[ɳɔ]
[ɳə]
[ɳʰ]
[ɳʲ]
[ɴq]
[ɵ]
[ɸ]
[ɸa]
[ɸu]
[ɸ~p]
[ɹ/ts]
[ɹ]
[ɹa]
[ɻ/ʐ]
[ɻ]
[ɻ̊]
[ɻ̥]
[ɽ]
[ɽə]
[ɽʰ]
[ɾ/r]
[ɾ]
[ɾa]
[ɾe]
[ɾi]
[ɾo]
[ɾu]
[ɾ~ɹ]
[ɾɒ]
[ɾ̪]
[ʀ~x]
[ʁ]
[ʁaˑ]
[ʁeˑ]
[ʁ~ɣ]
[ʁʷ]
[ʁˤ]
[ʂ/ɕ]
[ʂ/ʃ]
[ʂ]
[ʂa]
[ʂɒ]
[ʂə]
[ʃ/ks]
[ʃ/s]
[ʃ/ʒ]
[ʃ]
[ʃa]
[ʃaˑ]
[ʃeː]
[ʃiz]
[ʃp]
[ʃt]
[ʃtʃ]
[ʃ~s]
[ʃə]
[ʃɪ]
[ʃʰ]
[ʃʷ]
[ʃː]
[ʃ’]
[ʄ]
[ʄeˑ]
[ʄ̵]
[ʈ]
[ʈa]
[ʈɒ]
[ʈɔ]
[ʈə]
[ʈɾ]
[ʈʂ]
[ʈʰ]
[ʈʰa]
[ʈː]
[ʈ’]
[ʉ/u]
[ʉ]
[ʉː]
[ʊ/ɔ]
[ʊ]
[ʊ~u]
[ʊɨ]
[ʋ/w]
[ʋ;w]
[ʋ]
[ʋa]
[ʋeː]
[ʋi]
[ʋ~w]
[ʋɒ]
[ʋə]
[ʌ]
[ʌh]
[ʌ~a]
[ʌŋ]
[ʌː]
[ʍ]
[ʎ]
[ʎu]
[ʎɑ]
[ʎɒ]
[ʎɛ]
[ʏ/i]
[ʏ/y]
[ʐ]
[ʑ]
[ʑa]
[ʒ]
[ʒe]
[ʒeˑ]
[ʒʷ]
[ʔ/Ø]
[ʔ]
[ʔa]
[ʔb]
[ʔd]
[ʔe]
[ʔi]
[ʔi˨]
[ʔḭ]
[ʔj]
[ʔja]
[ʔjo]
[ʔju]
[ʔl]
[ʔo]
[ʔu]
[ʔu˨]
[ʔw]
[ʔɰa]
[ʔʲ]
[ʔʷ]
[ʕ]
[ʕeˑ]
[ʕ~ʔ]
[ʕʷ]
[ʕʼ]
[ʜ]
[ʜaˑ]
[ʜ~ħ]
[ʝ]
[ʝɔ]
[ʡ/ˤ]
[ʡ]
[ʡeˑ]
[ʡ~я]
[ʣ/tz]
[ʣ]
[ʣ~ʤ]
[ʤ]
[ʤa]
[ʤna]
[ʤ~ʒ]
[ʤɔ]
[ʤə]
[ʤʰ]
[ʤʱa]
[ʤʲ]
[ʤʷ]
[ʤ͡]
[ʥ]
[ʥa]
[ʥe]
[ʥi]
[ʥo]
[ʥu]
[ʥ~ɟ]
[ʦ/ʨ]
[ʦ]
[ʦeː]
[ʦʰ]
[ʦʷ]
[ʦʿ]
[ʦː]
[ʦ̪]
[ʦ’]
[ʧ ͡]
[ʧ']
[ʧ*]
[ʧ/kj]
[ʧ/ʤ]
[ʧ]
[ʧa]
[ʧh]
[ʧi]
[ʧ~c]
[ʧ~ʤ]
[ʧɔ]
[ʧʰ]
[ʧʰa]
[ʧʲ]
[ʧʷ]
[ʧʼ]
[ʧʿ]
[ʧˀ]
[ʧː]
[ʧ’]
[ʨ/ʥ]
[ʨ]
[ʨa]
[ʨe]
[ʨi]
[ʨo]
[ʨu]
[ʨ~c]
[ʨʔ]
[ʨʰ]
[ʨʰa]
[ʰ]
[ʰp]
[ʰt]
[ʰtl]
[ʲ]
[ʷ]
[ʷa]
[ˀ-]
[ˀ]
[ˀeˑ]
[ˀj]
[ˀl]
[ˀm]
[ˀn]
[ˀv]
[ˀw]
[ˁ/ħ]
[ˆː]
[ˇ]
[ˇː]
[ˈaː]
[ˈeː]
[ˈiː]
[ˈoː]
[ˈuː]
